eQTL,
,sQTL_GTEx_Minor_Salivary_Gland,162 ,Minor Salivary Gland
,sQTL_GTEx_Muscle_Skeletal,803 ,Muscle Skeletal
,sQTL_GTEx_Nerve_Tibial,619 ,Nerve Tibial
,sQTL_GTEx_Ovary,180 ,Ovary
,sQTL_GTEx_Pancreas,328 ,Pancreas
,sQTL_GTEx_Pituitary,283 ,Pituitary
,sQTL_GTEx_Prostate,245 ,Prostate
,sQTL_GTEx_Skin_Not_Sun_Exposed_Suprapubic,604 ,Skin
,sQTL_GTEx_Skin_Sun_Exposed_Lower_leg,701 ,Skin
,sQTL_GTEx_Small_Intestine_Terminal_Ileum,187 ,Small Intestine Terminal Ileum
,sQTL_GTEx_Spleen,241 ,Spleen
,sQTL_GTEx_Stomach,359 ,Stomach
,sQTL_GTEx_Testis,361 ,Testis
,sQTL_GTEx_Thyroid,653 ,Thyroid
,sQTL_GTEx_Uterus,142 ,Uterus
,sQTL_GTEx_Vagina,156 ,Vagina
,sQTL_GTEx_Whole_Blood,755 ,Whole Blood
pQTL,
INTERVAL,pQTL_INTERVAL,3301 ,Blood
UK Biobank,pQTL_UKB,54219 ,Blood
SCALLOP,pQTL_SCALLOP,30931	,Blood
mQTL,
BrainMeta,mQTL_BrainMeta,1160 ,Brain
LBC + BSGS,mQTL_McRae,1980 ,Blood
